Customer ID,Customer Name,Gender,Total Purchase Amount,Transaction Count,Returns,Age,Cluster
1,Dominic Cline,female,5600,3,0.6666667,67.0,0
2,Crystal Day,female,6459,6,0.6666667,42.0,2
3,Joseph Perez,male,3613,4,0.75,31.0,1
4,Wyatt Love,male,4339,5,0.6,37.0,1
5,Shannon Hoffman,female,2263,5,1.0,24.0,1
6,Andrea Rodriguez,female,9439,9,0.6666667,34.0,2
7,Scott Williams,male,4441,8,0.75,22.0,2
8,Kathleen Quinn,male,8192,7,0.71428573,66.0,2
9,Michael Wilcox,female,4719,7,0.71428573,39.0,2
10,Thomas Carr,female,6693,8,0.25,49.0,2
11,Alexander White,male,5557,8,0.75,67.0,2
12,Rebecca Perez,male,5047,7,0.5714286,31.0,2
13,Krystal Anderson,male,3249,5,0.2,60.0,0
14,Alexis Hernandez,male,4010,5,0.6,42.0,1
15,James Fisher,male,2599,5,1.0,38.0,1
16,Ernest Brooks,male,1907,3,0.6666667,67.0,0
17,John Brooks,male,8557,8,0.5,32.0,2
18,Maurice French,male,852,2,0.5,52.0,0
19,Janet Rivers,male,3953,5,0.8,37.0,1
20,Mike Parks DVM,male,2431,4,0.5,42.0,1
21,Jeffrey Williams,male,2422,5,0.4,20.0,1
22,Jennifer Rivera,female,1902,5,0.4,40.0,1
23,Justin Smith,female,6804,7,0.5714286,33.0,2
24,Emily Dunn,female,2064,4,0.5,69.0,0
25,Nathan Coleman,female,3395,3,0.6666667,18.0,1
26,Jason Thomas,male,2000,3,0.6666667,50.0,0
27,Cory Buckley,female,2891,4,0.75,45.0,0
28,Laura Walls,male,4877,4,0.75,56.0,0
29,Karla Figueroa,male,2229,5,0.6,54.0,0
30,Christina Little,female,1770,4,0.75,33.0,1
31,Christina Woods,male,6204,6,0.6666667,50.0,2
32,Jeremy Wise,female,4650,5,0.8,39.0,1
33,Austin Shea,male,6593,7,0.42857143,41.0,2
34,Heather King,male,1413,1,1.0,57.0,0
